incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level,cleaned_incident
INC-2019-0093,Retention sample for batch A6081C not taken per SOP SOP-008 requirements. Omission identified during annual product review and sample inventory check.,Documentation Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low,retention sample for batch a6081c not taken per standard operating procedure standard operating procedure 008 requirements omission identified during annual product review and sample inventory check
INC-2019-0094,Out-of-specification result for batch A1480B not reported within required timeframe. Reporting delay of 2.7 hours above the required notification limit.,Documentation Error,Operator retraining,Implement preventive maintenance schedule,Low,out of specification result for batch a1480b not reported within required timeframe reporting delay of 2 7 hours above the required notification limit
INC-2019-0095,Gowning procedure not followed correctly by operator OP-1579 entering Grade A filling zone during batch D6963B filling operation. Non-compliance confirmed by CCTV review.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,High,gowning procedure not followed correctly by operator op 1579 entering grade a filling zone during batch d6963b filling operation non compliance confirmed by cctv review
INC-2019-0096,Freeze dryer HP-398 experienced shelf temperature excursion during primary drying of batch D1130B. Shelf temperature rose 38.1 degrees C above the validated specification limit.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium,freeze dryer hp 398 experienced shelf temperatureerature excursion during primary drying of batch d1130b shelf temperatureerature rose 38 1 degrees c above the validated specification limit
INC-2019-0097,Mixing time for batch A3332C reduced to 8.3 minutes due to equipment issue. Validated minimum mixing time is 28 minutes. Blend uniformity testing initiated.,Process Deviation,Process parameter adjustment,Increase monitoring frequency,High,mixing time for batch a3332c reduced to 8 3 minutes due to equipment issue validated minimum mixing time is 28 minutes blend uniformity testing initiated
INC-2019-0098,pH meter FP-574 gave inconsistent readings during in-process checks on batch C4401B. Calibration check failed with 0.12 pH unit drift from standard.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,Medium,ph meter fp 574 gave inconsistent readings during in process checks on batch c4401b calibration check failed with 0 12 ph unit drift from standard
INC-2019-0099,Dissolution apparatus AC-302 paddle speed not verified prior to testing batch A2010A. Speed found at 56 rpm instead of specified 77 rpm.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Medium,dissolution apparatus ac 302 paddle speed not verified prior to testing batch a2010a speed found at 56 rpm instead of specified 77 rpm
INC-2019-0100,Operator OP-1567 used previous batch record template for batch B5505B documentation. Version mismatch identified during QA batch record review before release.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,Low,operator op 1567 used previous batch record temperaturelate for batch b5505b documentation version mismatch identified during qa batch record review before release
INC-2019-0101,Incorrect cleaning agent applied to equipment BLD-376 following batch E9231B processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium,incorrect cleaning agent applied to equipment bld 376 following batch e9231b processing cleaning standard operating procedure not consulted prior to cleaning contamination risk assessed
INC-2019-0102,Incorrect expiry date printed on labels for batch B6210C. 1892 units incorrectly labelled before detection by QA inspection.,Human Error,Deep cleaning and sanitisation,Enhance supplier qualification process,High,incorrect expiry date printed on labels for batch b6210c 1892 units incorrectly labelled before detection by qa inspection
INC-2019-0103,Raw data for batch C1975A testing deleted from system before secondary review completed. Data integrity breach identified during internal audit review.,Documentation Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low,raw data for batch c1975a testing deleted from system before secondary review completed data integrity breach identified during internal audit review
INC-2019-0104,Dissolution profile for batch C3086A failed at 60 minute timepoint. 8.5% dissolved against specification of NLT 81.0%.,Process Deviation,Process parameter adjustment,Add in-process checks at critical steps,Medium,dissolution profile for batch c3086a failed at 60 minute timepoint 8 5 dissolved against specification of nlt 81 0
INC-2019-0105,Wrong batch number A5831A entered into batch record for batch D9078B. Documentation error discovered during QA review prior to batch release.,Human Error,Operator retraining,Introduce dual-person verification,Medium,wrong batch number a5831a entered into batch record for batch d9078b documentation error discovered during qa review prior to batch release
INC-2019-0106,Visual inspection of batch A8066C identified 31 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,Low,visual inspection of batch a8066c identified 31 units with visible particulate matter batch held pending particle identification and risk assessment
INC-2019-0107,Double dispensing of Povidone occurred for batch E7349A. Operator OP-7052 did not check previous dispensing record. Total weight 15.3% above specification.,Human Error,Operator retraining,Deploy continuous training programme,High,double dispensing of povidone occurred for batch e7349a operator op 7052 did not check previous dispensing record total weight 15 3 above specification
INC-2019-0108,Tablet disintegration for batch D4860B exceeded 9.2 minutes at 45 minute timepoint. Specification limit is NMT 10 minutes.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low,tablet disintegration for batch d4860b exceeded 9 2 minutes at 45 minute timepoint specification limit is nmt 10 minutes
INC-2019-0109,Yield for batch D2843B was 88.6% against expected yield of 98.6%. Unaccounted material loss triggers investigation.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High,yield for batch d2843b was 88 6 against expected yield of 98 6 unaccounted material loss triggers investigation
