incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level
INC-2019-0142,Double dispensing of Magnesium Stearate occurred for batch C6641C. Operator OP-3262 did not check previous dispensing record. Total weight 16.8% above specification.,Human Error,Operator retraining,Introduce dual-person verification,Medium
INC-2019-0143,Granulator FP-828 impeller speed dropped from target 222 rpm to 29 rpm during wet granulation of batch D7564C. Granule properties affected.,Equipment Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2019-0144,Particle size distribution of HPMC lot LOT-46242 outside specification. D90 measured at 235.0 µm against NMT limit.,Material / Supplier Defect,Root cause investigation and CAPA report,Enhance supplier qualification process,Low
INC-2019-0145,Fill volume for batch D1448B vials measured outside specification. 32 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,High
INC-2019-0146,Incorrect cleaning agent applied to equipment CP-222 following batch E6833A processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Low
INC-2019-0147,SCADA system QMS Pro v3.2 for filling line 4 generated incorrect yield for batch A9232B. Discrepancy of 79 units not flagged.,Software / System Failure,Root cause investigation and CAPA report,Deploy continuous training programme,Medium
INC-2019-0148,In-process assay for batch E6621B at coating step measured 97.6% against specification of 90.7% to 109.5%.,Process Deviation,Root cause investigation and CAPA report,Upgrade software with validation,Medium
INC-2019-0149,Dissolution apparatus HP-933 paddle speed not verified prior to testing batch A3676A. Speed found at 52 rpm instead of specified 81 rpm.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Medium
INC-2019-0150,QC analyst OP-2168 applied incorrect sampling plan to batch B6527B incoming testing. Not trained on updated sampling procedure. Training record gap confirmed.,Training Gap,Document revision and re-issuance,Add in-process checks at critical steps,Low
INC-2019-0151,Print quality failure on label batch LOT-40753 from PackRight Ltd. Barcode not readable by automated scanner. 24.3% of labels failed reading test.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,Medium
INC-2019-0152,Tablet press TBL-981 produced tablets with hardness below specification during compression of batch B1468A. Average hardness 5.2 kP against minimum of 8.6 kP.,Equipment Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Medium
INC-2019-0153,Incorrect cleaning agent applied to equipment CEN-873 following batch D9767A processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium
INC-2019-0154,Ambient temperature in dispensary Room D104 rose to 29.2 degrees C for 6.0 hours. Temperature-sensitive raw materials dispensed for batch C5664C during exceedance.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,High
INC-2019-0155,Fill volume for batch A6410A vials measured outside specification. 3 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Process parameter adjustment,Upgrade software with validation,Low
INC-2019-0156,Granule moisture content for batch A4568A measured at 1.5% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Batch quarantine and investigation,Deploy continuous training programme,Medium
INC-2019-0157,Two raw material lots LOT-48628 and LOT-31016 mixed in dispensary during weighing for batch B5107A. Mix-up detected by second operator during verification check.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium
INC-2019-0158,Heavy metals test for Lactose Monohydrate lot LOT-80642 from API Solutions failed specification. 5.37 ppm detected against permitted limit.,Material / Supplier Defect,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2019-0159,HVAC system failure in cleanroom Room A101 resulted in differential pressure drop below specification. Grade integrity compromised for 0.8 hours during batch A7002A manufacture.,Environmental Control Failure,Batch quarantine and investigation,Implement environmental monitoring trend analysis,High
INC-2019-0160,Microbial contamination found in Microcrystalline Cellulose lot LOT-97194 from API Solutions. Total aerobic count 23 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Supplier qualification review,Upgrade software with validation,Medium
INC-2019-0161,Operator OP-1567 added 25.6% excess of Magnesium Stearate to batch D8331B during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Deep cleaning and sanitisation,Enhance supplier qualification process,Medium
INC-2019-0162,Operator OP-4562 set drying temperature to 75.6 degrees C instead of specified 33.8 degrees C for batch C5920A. Deviation noted after 5.2 hours of processing.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Medium
INC-2019-0163,Particle size distribution of HPMC lot LOT-15397 outside specification. D90 measured at 373.0 µm against NMT limit.,Material / Supplier Defect,Batch quarantine and investigation,Add in-process checks at critical steps,Medium
INC-2019-0164,Tablet disintegration for batch B3209B exceeded 32.2 minutes at 30 minute timepoint. Specification limit is NMT 26 minutes.,Process Deviation,Process parameter adjustment,Revise SOP with enhanced controls,High
INC-2019-0165,Positive pressure in filling suite Room 202 lost for 5.5 hours due to door seal failure. Batch B5713A aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Deep cleaning and sanitisation,Increase monitoring frequency,High
INC-2019-0166,Batch record for batch C2767A missing authorised signature at step 18 covering filling. Deviation raised during QA batch record review.,Documentation Error,Document revision and re-issuance,Introduce dual-person verification,Medium
INC-2019-0167,Tablet press FP-341 produced tablets with hardness below specification during compression of batch C6822C. Average hardness 3.4 kP against minimum of 8.2 kP.,Equipment Failure,Deep cleaning and sanitisation,Add in-process checks at critical steps,Low
INC-2019-0168,Filling pump FP-805 showed variable fill volume on line 2. Fill weights ranged 483.2mg to 518.8mg against target for batch E4314A.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,High
INC-2019-0169,Gowning procedure not followed correctly by operator OP-1427 entering Grade A filling zone during batch E4783C filling operation. Non-compliance confirmed by CCTV review.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,High
INC-2019-0170,In-process pH of batch C8496A drifted to 3.3 outside validated range of 5.0 to 7.0 during granulation step.,Process Deviation,Process parameter adjustment,Increase monitoring frequency,Medium
INC-2019-0171,pH meter AC-502 gave inconsistent readings during in-process checks on batch E2854A. Calibration check failed with 0.16 pH unit drift from standard.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Medium
INC-2019-0172,Temperature logger software failed to generate alarm when cold room Room C303 exceeded limit. Alarm suppressed by software configuration fault. Exceedance undetected for 7.2 hours.,Software / System Failure,Product recall and destruction,Upgrade software with validation,High
INC-2019-0173,Wrong batch number C1601A entered into batch record for batch E8794B. Documentation error discovered during QA review prior to batch release.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,High
INC-2019-0174,Excipient Magnesium Stearate lot LOT-49229 from BioRaw GmbH contained visible foreign particulate. Failed visual inspection during incoming QC screening.,Material / Supplier Defect,Document revision and re-issuance,Upgrade software with validation,Medium
